protein1	protein2
CSNK2A1	CSNK2A1
BMPR2	TRIB3
PRKCB	RNF31
ILK	NOTCH1
PRKCD	HIST1H1A
PRKCE	HIST1H1A
PRPS1	PARK2
WEE1	CSNK2A1
CDK2	ACTB
CDK2	HRNR
CDK2	DCD
CDK2	DSG1
CDK2	FLG2
CDK2	ATP5B
CDK2	HIST2H2BE
CDK2	HIST1H2AH
CDK2	SERPINH1
CDK2	KPRP
CDK2	LDHB
CDK2	RAB15
CDK2	TLN1
CDK2	DSC1
CDK2	FLNC
CDK2	DPYSL3
CDK2	LRPPRC
CDK2	RPL35
CDK2	AHNAK
CDK2	ALDOA
CDK2	RPL36
CDK2	PDIA4
CDK2	CCT8
CDK2	RPL23A
CDK2	DPYSL2
CDK2	AZGP1
CDK2	RPL7
CDK2	LYZ
CDK2	ATP5A1
CDK2	GANAB
CDK2	TUFM
CDK2	RPL8
CDK2	PCMT1
CDK2	RPS4X
CDK2	SEMG1
CDK2	PCBP1
CDK2	GNB2L1
CDK2	TALDO1
CDK2	RPL32
CDK2	TARS
CDK2	PODXL
CDK2	FLNB
CDK2	PGD
CDK2	ARF1
CDK2	RPS14
CDK2	HNRNPF
CDK2	TKT
CDK2	ARF4
CDK2	GTF2I
CDK2	CSTA
CDK2	GPI
CDK2	RPS11
CDK2	SLC25A4
CDK2	CSE1L
CDK2	RPS2
CDK2	EPRS
CDK2	SFPQ
CDK2	GARS
CDK2	HBB
CDK2	RPS3A
CDK2	RPL10A
CDK2	RPS15A
CDK2	RPS13
CDK2	CRABP1
CDK2	ILF3
CDK2	LGALS7
CDK2	RPL22
CDK2	FSCN1
CDK2	DEK
CDK2	ARGLU1
CDK2	DHX15
CDK2	MYL6
CDK2	RPS17
CDK2	SARS
CDK2	RPL30
CDK2	ENO2
CDK2	LARS
CDK2	MFAP1
CDK2	SLC25A3
CDK2	PHB
